nr,nazwa,pp,numberOfSeeds,seeds,numberOfNodes,step,infectedPerStep,infectedTotal,infectedTotalPercentage,computionalTime,limitPercentage
5,12,0.1,1,[104],1,1,11,12,1.059135039717564,[],1
5,12,0.1,1,[104],1,2,18,30,2.64783759929391,[],1
5,12,0.1,1,[104],1,3,26,56,4.942630185348632,[],1
5,12,0.1,1,[104],1,4,42,98,8.649602824360105,[],1
5,12,0.1,1,[104],1,5,71,169,14.916151809355693,[],1
5,12,0.1,1,[104],1,6,74,243,21.44748455428067,[],1
5,12,0.1,1,[104],1,7,53,296,26.12533097969991,[],1
5,12,0.1,1,[104],1,8,59,355,31.332744924977934,[],1
5,12,0.1,1,[104],1,9,42,397,35.039717563989406,[],1
5,12,0.1,1,[104],1,10,34,431,38.0406001765225,[],1
5,12,0.1,1,[104],1,11,16,447,39.45278022947926,[],1
5,12,0.1,1,[104],1,12,10,457,40.33539276257723,[],1
5,12,0.1,1,[104],1,13,4,461,40.68843777581642,[],1
5,12,0.1,1,[104],1,14,1,462,40.77669902912621,[],1
5,12,0.1,1,[104],1,15,2,464,40.95322153574581,[],1
5,12,0.1,1,[104],1,16,3,467,41.2180052956752,[],1
5,12,0.1,1,[104],1,17,0,467,41.2180052956752,[],1
5,12,0.1,1,[40],2,18,0,468,41.30626654898499,[],1
5,12,0.1,1,[204],3,19,2,471,41.57105030891439,[],1
5,12,0.1,1,[204],3,20,4,475,41.924095322153576,[],1
5,12,0.1,1,[204],3,21,2,477,42.10061782877317,[],1
5,12,0.1,1,[204],3,22,0,477,42.10061782877317,[],1
5,12,0.1,1,[286],4,23,0,478,42.18887908208296,[],1
5,12,0.1,1,[44],5,24,2,481,42.453662842012356,[],1
5,12,0.1,1,[44],5,25,1,482,42.54192409532215,[],1
5,12,0.1,1,[44],5,26,1,483,42.63018534863195,[],1
5,12,0.1,1,[44],5,27,0,483,42.63018534863195,[],1
5,12,0.1,1,[211],6,28,0,484,42.71844660194174,[],1
5,12,0.1,1,[182],7,29,1,486,42.89496910856134,[],1
5,12,0.1,1,[182],7,30,1,487,42.983230361871136,[],1
5,12,0.1,1,[182],7,31,0,487,42.983230361871136,[],1
5,12,0.1,1,[84],8,32,0,488,43.07149161518093,[],1
5,12,0.1,1,[130],9,33,1,490,43.24801412180053,[],1
5,12,0.1,1,[130],9,34,2,492,43.42453662842012,[],1
5,12,0.1,1,[130],9,35,1,493,43.51279788172992,[],1
5,12,0.1,1,[130],9,36,1,494,43.60105913503972,[],1
5,12,0.1,1,[130],9,37,1,495,43.689320388349515,[],1
5,12,0.1,1,[130],9,38,2,497,43.865842894969106,[],1
5,12,0.1,1,[130],9,39,1,498,43.95410414827891,[],1
5,12,0.1,1,[130],9,40,1,499,44.042365401588704,[],1
5,12,0.1,1,[130],9,41,0,499,44.042365401588704,[],1
5,12,0.1,1,[72],10,42,0,500,44.1306266548985,[],1
5,12,0.1,1,[587],11,43,0,501,44.2188879082083,[],1
5,12,0.1,2,"[104, 332]",2,1,16,18,1.5887025595763458,[],1
5,12,0.1,2,"[104, 332]",2,2,34,52,4.5895851721094445,[],1
5,12,0.1,2,"[104, 332]",2,3,44,96,8.473080317740513,[],1
5,12,0.1,2,"[104, 332]",2,4,59,155,13.680494263018536,[],1
5,12,0.1,2,"[104, 332]",2,5,72,227,20.03530450132392,[],1
5,12,0.1,2,"[104, 332]",2,6,58,285,25.154457193292146,[],1
5,12,0.1,2,"[104, 332]",2,7,43,328,28.949691085613416,[],1
5,12,0.1,2,"[104, 332]",2,8,45,373,32.92144748455428,[],1
5,12,0.1,2,"[104, 332]",2,9,36,409,36.09885260370697,[],1
5,12,0.1,2,"[104, 332]",2,10,29,438,38.658428949691086,[],1
5,12,0.1,2,"[104, 332]",2,11,14,452,39.894086496028244,[],1
5,12,0.1,2,"[104, 332]",2,12,10,462,40.77669902912621,[],1
5,12,0.1,2,"[104, 332]",2,13,5,467,41.2180052956752,[],1
5,12,0.1,2,"[104, 332]",2,14,0,467,41.2180052956752,[],1
5,12,0.1,2,"[40, 204]",4,15,0,469,41.394527802294796,[],1
5,12,0.1,2,"[211, 286]",6,16,5,476,42.01235657546337,[],1
