nr,nazwa,pp,numberOfSeeds,seeds,totalNumberOfSeeds,numberOfNodes,steps,infectedTotal,infectedTotalPercentage,computionalTime,limitPercentage
5,12,0.9,1,1,11,1133,17,1129,99.64695498676082,[],1
5,12,0.9,2,2,11,1133,12,1128,99.55869373345102,[],1
5,12,0.9,4,4,11,1133,9,1126,99.38217122683142,[],1
5,12,0.9,8,8,11,1133,7,1122,99.02912621359224,[],1
5,12,0.9,16,16,11,1133,6,1119,98.76434245366285,[],1
4,12,0.9,1,1,11,1133,17,1127,99.47043248014121,[],1
4,12,0.9,2,2,11,1133,12,1126,99.38217122683142,[],1
4,12,0.9,4,4,11,1133,9,1124,99.20564872021183,[],1
4,12,0.9,8,8,11,1133,7,1120,98.85260370697264,[],1
4,12,0.9,16,16,11,1133,6,1117,98.58781994704324,[],1
6,12,0.9,1,1,11,1133,18,1131,99.82347749338041,[],1
6,12,0.9,2,2,11,1133,12,1130,99.73521624007061,[],1
6,12,0.9,4,4,11,1133,9,1128,99.55869373345102,[],1
6,12,0.9,8,8,11,1133,8,1124,99.20564872021183,[],1
6,12,0.9,16,16,11,1133,7,1121,98.94086496028244,[],1
7,12,0.9,1,1,11,1133,18,1118,98.67608120035305,[],1
7,12,0.9,2,2,11,1133,13,1117,98.58781994704324,[],1
7,12,0.9,4,4,11,1133,10,1115,98.41129744042365,[],1
7,12,0.9,8,8,11,1133,7,1110,97.96999117387467,[],1
7,12,0.9,16,16,11,1133,6,1107,97.70520741394529,[],1
10,12,0.9,1,1,11,1133,18,1130,99.73521624007061,[],1
10,12,0.9,2,2,11,1133,13,1129,99.64695498676082,[],1
10,12,0.9,4,4,11,1133,9,1126,99.38217122683142,[],1
10,12,0.9,8,8,11,1133,7,1122,99.02912621359224,[],1
10,12,0.9,16,16,11,1133,6,1119,98.76434245366285,[],1
3,12,0.9,1,1,11,1133,17,1124,99.20564872021183,[],1
3,12,0.9,2,2,11,1133,12,1123,99.11738746690203,[],1
3,12,0.9,4,4,11,1133,9,1121,98.94086496028244,[],1
3,12,0.9,8,8,11,1133,7,1117,98.58781994704324,[],1
3,12,0.9,16,16,11,1133,6,1114,98.32303618711386,[],1
2,12,0.9,1,1,11,1133,18,1129,99.64695498676082,[],1
2,12,0.9,2,2,11,1133,12,1127,99.47043248014121,[],1
2,12,0.9,4,4,11,1133,9,1125,99.29390997352162,[],1
2,12,0.9,8,8,11,1133,7,1121,98.94086496028244,[],1
2,12,0.9,16,16,11,1133,6,1118,98.67608120035305,[],1
1,12,0.9,1,1,11,1133,19,1128,99.55869373345102,[],1
1,12,0.9,2,2,11,1133,13,1127,99.47043248014121,[],1
1,12,0.9,4,4,11,1133,9,1123,99.11738746690203,[],1
1,12,0.9,8,8,11,1133,7,1119,98.76434245366285,[],1
1,12,0.9,16,16,11,1133,6,1116,98.49955869373345,[],1
9,12,0.9,1,1,11,1133,18,1127,99.47043248014121,[],1
9,12,0.9,2,2,11,1133,12,1126,99.38217122683142,[],1
9,12,0.9,4,4,11,1133,9,1124,99.20564872021183,[],1
9,12,0.9,8,8,11,1133,8,1120,98.85260370697264,[],1
9,12,0.9,16,16,11,1133,7,1117,98.58781994704324,[],1
8,12,0.9,1,1,11,1133,17,1125,99.29390997352162,[],1
8,12,0.9,2,2,11,1133,12,1124,99.20564872021183,[],1
8,12,0.9,4,4,11,1133,9,1122,99.02912621359224,[],1
8,12,0.9,8,8,11,1133,7,1118,98.67608120035305,[],1
8,12,0.9,16,16,11,1133,6,1115,98.41129744042365,[],1
