nr,nazwa,pp,numberOfSeeds,seeds,totalNumberOfSeeds,numberOfNodes,step,infectedPerStep,infectedTotal,infectedTotalPercentage,computionalTime,limitPercentage
5,12,0.1,1,[104],1,1133,1,11,12,1.059135039717564,[],3
5,12,0.1,1,[104],1,1133,2,18,30,2.64783759929391,[],3
5,12,0.1,1,[104],1,1133,3,26,56,4.942630185348632,[],3
5,12,0.1,1,[104],1,1133,4,42,98,8.649602824360105,[],3
5,12,0.1,1,[104],1,1133,5,71,169,14.916151809355693,[],3
5,12,0.1,1,[104],1,1133,6,74,243,21.44748455428067,[],3
5,12,0.1,1,[104],1,1133,7,53,296,26.12533097969991,[],3
5,12,0.1,1,[104],1,1133,8,59,355,31.332744924977934,[],3
5,12,0.1,1,[104],1,1133,9,42,397,35.039717563989406,[],3
5,12,0.1,1,[104],1,1133,10,34,431,38.0406001765225,[],3
5,12,0.1,1,[104],1,1133,11,16,447,39.45278022947926,[],3
5,12,0.1,1,[104],1,1133,12,10,457,40.33539276257723,[],3
5,12,0.1,1,[104],1,1133,13,4,461,40.68843777581642,[],3
5,12,0.1,1,[104],1,1133,14,1,462,40.77669902912621,[],3
5,12,0.1,1,[104],1,1133,15,2,464,40.95322153574581,[],3
5,12,0.1,1,[104],1,1133,16,3,467,41.2180052956752,[],3
5,12,0.1,1,[104],1,1133,17,0,467,41.2180052956752,[],3
5,12,0.1,1,[40],2,1133,18,0,468,41.30626654898499,[],3
5,12,0.1,1,[182],3,1133,19,2,471,41.57105030891439,[],3
5,12,0.1,1,[182],3,1133,20,1,472,41.65931156222418,[],3
5,12,0.1,1,[182],3,1133,21,0,472,41.65931156222418,[],3
5,12,0.1,1,[587],4,1133,22,0,473,41.74757281553398,[],3
5,12,0.1,1,[127],5,1133,23,0,474,41.83583406884378,[],3
5,12,0.1,1,[44],6,1133,24,1,476,42.01235657546337,[],3
5,12,0.1,1,[44],6,1133,25,1,477,42.10061782877317,[],3
5,12,0.1,1,[44],6,1133,26,0,477,42.10061782877317,[],3
5,12,0.1,1,[37],7,1133,27,0,478,42.18887908208296,[],3
5,12,0.1,1,[774],8,1133,28,1,480,42.36540158870256,[],3
5,12,0.1,1,[774],8,1133,29,0,480,42.36540158870256,[],3
5,12,0.1,1,[211],9,1133,30,0,481,42.453662842012356,[],3
5,12,0.1,1,[589],10,1133,31,1,483,42.63018534863195,[],3
5,12,0.1,1,[589],10,1133,32,2,485,42.806707855251545,[],3
5,12,0.1,1,[589],10,1133,33,1,486,42.89496910856134,[],3
5,12,0.1,1,[589],10,1133,34,0,486,42.89496910856134,[],3
5,12,0.1,1,[286],11,1133,35,0,487,42.983230361871136,[],3
5,12,0.1,1,[130],12,1133,36,2,490,43.24801412180053,[],3
5,12,0.1,1,[130],12,1133,37,2,492,43.42453662842012,[],3
5,12,0.1,1,[130],12,1133,38,1,493,43.51279788172992,[],3
5,12,0.1,1,[130],12,1133,39,0,493,43.51279788172992,[],3
5,12,0.1,1,[72],13,1133,40,0,494,43.60105913503972,[],3
5,12,0.1,1,[204],14,1133,41,0,495,43.689320388349515,[],3
5,12,0.1,1,[1004],15,1133,42,2,498,43.95410414827891,[],3
5,12,0.1,1,[1004],15,1133,43,1,499,44.042365401588704,[],3
5,12,0.1,1,[1004],15,1133,44,0,499,44.042365401588704,[],3
5,12,0.1,1,[414],16,1133,45,0,500,44.1306266548985,[],3
5,12,0.1,1,[848],17,1133,46,1,502,44.3071491615181,[],3
5,12,0.1,1,[848],17,1133,47,1,503,44.39541041482789,[],3
5,12,0.1,1,[848],17,1133,48,0,503,44.39541041482789,[],3
5,12,0.1,1,[705],18,1133,49,0,504,44.48367166813769,[],3
5,12,0.1,1,[311],19,1133,50,1,506,44.66019417475729,[],3
5,12,0.1,1,[311],19,1133,51,2,508,44.83671668137688,[],3
5,12,0.1,1,[311],19,1133,52,0,508,44.83671668137688,[],3
5,12,0.1,1,[269],20,1133,53,0,509,44.92497793468667,[],3
5,12,0.1,1,[157],21,1133,54,0,510,45.01323918799647,[],3
5,12,0.1,1,[84],22,1133,55,1,512,45.18976169461607,[],3
5,12,0.1,1,[84],22,1133,56,2,514,45.36628420123566,[],3
5,12,0.1,1,[84],22,1133,57,1,515,45.45454545454545,[],3
5,12,0.1,1,[84],22,1133,58,1,516,45.54280670785525,[],3
5,12,0.1,1,[84],22,1133,59,1,517,45.63106796116505,[],3
5,12,0.1,1,[84],22,1133,60,1,518,45.71932921447485,[],3
5,12,0.1,1,[84],22,1133,61,2,520,45.89585172109444,[],3
5,12,0.1,1,[84],22,1133,62,1,521,45.98411297440423,[],3
5,12,0.1,1,[84],22,1133,63,1,522,46.072374227714036,[],3
5,12,0.1,1,[84],22,1133,64,0,522,46.072374227714036,[],3
5,12,0.1,1,[135],23,1133,65,0,523,46.16063548102383,[],3
5,12,0.1,1,[693],24,1133,66,0,524,46.24889673433363,[],3
5,12,0.1,1,[1068],25,1133,67,0,525,46.33715798764342,[],3
5,12,0.1,1,[24],26,1133,68,0,526,46.42541924095322,[],3
5,12,0.1,1,[91],27,1133,69,0,527,46.51368049426302,[],3
5,12,0.1,1,[417],28,1133,70,1,529,46.69020300088261,[],3
5,12,0.1,1,[417],28,1133,71,0,529,46.69020300088261,[],3
5,12,0.1,1,[333],29,1133,72,0,530,46.77846425419241,[],3
5,12,0.1,1,[446],30,1133,73,0,531,46.8667255075022,[],3
5,12,0.1,1,[339],31,1133,74,1,533,47.0432480141218,[],3
5,12,0.1,1,[339],31,1133,75,0,533,47.0432480141218,[],3
5,12,0.1,1,[554],32,1133,76,0,534,47.131509267431596,[],3
5,12,0.1,1,[357],33,1133,77,0,535,47.21977052074139,[],3
5,12,0.1,2,"[104, 22]",2,1133,1,17,19,1.6769638128861428,[],3
5,12,0.1,2,"[104, 22]",2,1133,2,33,52,4.5895851721094445,[],3
5,12,0.1,2,"[104, 22]",2,1133,3,56,108,9.532215357458076,[],3
5,12,0.1,2,"[104, 22]",2,1133,4,74,182,16.063548102383056,[],3
5,12,0.1,2,"[104, 22]",2,1133,5,99,281,24.801412180052957,[],3
5,12,0.1,2,"[104, 22]",2,1133,6,72,353,31.156222418358343,[],3
5,12,0.1,2,"[104, 22]",2,1133,7,47,400,35.3045013239188,[],3
5,12,0.1,2,"[104, 22]",2,1133,8,36,436,38.48190644307149,[],3
5,12,0.1,2,"[104, 22]",2,1133,9,19,455,40.15887025595764,[],3
5,12,0.1,2,"[104, 22]",2,1133,10,6,461,40.68843777581642,[],3
5,12,0.1,2,"[104, 22]",2,1133,11,3,464,40.95322153574581,[],3
5,12,0.1,2,"[104, 22]",2,1133,12,3,467,41.2180052956752,[],3
5,12,0.1,2,"[104, 22]",2,1133,13,0,467,41.2180052956752,[],3
5,12,0.1,2,"[40, 182]",4,1133,14,0,469,41.394527802294796,[],3
5,12,0.1,2,"[587, 127]",6,1133,15,2,473,41.74757281553398,[],3
5,12,0.1,2,"[587, 127]",6,1133,16,2,475,41.924095322153576,[],3
5,12,0.1,2,"[587, 127]",6,1133,17,1,476,42.01235657546337,[],3
5,12,0.1,2,"[587, 127]",6,1133,18,0,476,42.01235657546337,[],3
5,12,0.1,2,"[44, 37]",8,1133,19,0,478,42.18887908208296,[],3
5,12,0.1,2,"[774, 211]",10,1133,20,1,481,42.453662842012356,[],3
5,12,0.1,2,"[774, 211]",10,1133,21,1,482,42.54192409532215,[],3
5,12,0.1,2,"[774, 211]",10,1133,22,1,483,42.63018534863195,[],3
5,12,0.1,2,"[774, 211]",10,1133,23,1,484,42.71844660194174,[],3
5,12,0.1,2,"[774, 211]",10,1133,24,0,484,42.71844660194174,[],3
5,12,0.1,2,"[589, 286]",12,1133,25,0,486,42.89496910856134,[],3
5,12,0.1,2,"[130, 72]",14,1133,26,3,491,43.336275375110326,[],3
5,12,0.1,2,"[130, 72]",14,1133,27,2,493,43.51279788172992,[],3
5,12,0.1,2,"[130, 72]",14,1133,28,1,494,43.60105913503972,[],3
5,12,0.1,2,"[130, 72]",14,1133,29,0,494,43.60105913503972,[],3
5,12,0.1,2,"[204, 1004]",16,1133,30,0,496,43.77758164165931,[],3
5,12,0.1,2,"[414, 848]",18,1133,31,2,500,44.1306266548985,[],3
5,12,0.1,2,"[414, 848]",18,1133,32,3,503,44.39541041482789,[],3
5,12,0.1,2,"[414, 848]",18,1133,33,0,503,44.39541041482789,[],3
5,12,0.1,2,"[705, 311]",20,1133,34,0,505,44.571932921447484,[],3
5,12,0.1,2,"[269, 157]",22,1133,35,3,510,45.01323918799647,[],3
5,12,0.1,2,"[269, 157]",22,1133,36,1,511,45.10150044130627,[],3
5,12,0.1,2,"[269, 157]",22,1133,37,1,512,45.18976169461607,[],3
5,12,0.1,2,"[269, 157]",22,1133,38,0,512,45.18976169461607,[],3
5,12,0.1,2,"[84, 135]",24,1133,39,0,514,45.36628420123566,[],3
5,12,0.1,2,"[693, 1068]",26,1133,40,1,517,45.63106796116505,[],3
5,12,0.1,2,"[693, 1068]",26,1133,41,1,518,45.71932921447485,[],3
5,12,0.1,2,"[693, 1068]",26,1133,42,1,519,45.80759046778464,[],3
5,12,0.1,2,"[693, 1068]",26,1133,43,1,520,45.89585172109444,[],3
5,12,0.1,2,"[693, 1068]",26,1133,44,1,521,45.98411297440423,[],3
