nr,nazwa,pp,numberOfSeeds,seeds,totalNumberOfSeeds,numberOfNodes,steps,infectedTotal,infectedTotalPercentage,computionalTime,limitPercentage
5,12,0.1,1,1,33,1133,78,535,47.21977052074139,[],3
5,12,0.1,2,2,33,1133,55,534,47.131509267431596,[],3
5,12,0.1,4,4,33,1133,40,532,46.954986760812,[],3
5,12,0.1,8,8,33,1133,26,528,46.601941747572816,[],3
5,12,0.1,16,16,33,1133,15,508,44.83671668137688,[],3
4,12,0.1,1,1,33,1133,84,446,39.364518976169464,[],3
4,12,0.1,2,2,33,1133,57,445,39.27625772285966,[],3
4,12,0.1,4,4,33,1133,39,441,38.92321270962047,[],3
4,12,0.1,8,8,33,1133,29,429,37.86407766990291,[],3
4,12,0.1,16,16,33,1133,21,416,36.716681376875556,[],3
6,12,0.1,1,1,33,1133,84,434,38.305383936451896,[],3
6,12,0.1,2,2,33,1133,59,433,38.2171226831421,[],3
6,12,0.1,4,4,33,1133,39,431,38.0406001765225,[],3
6,12,0.1,8,8,33,1133,25,413,36.45189761694616,[],3
6,12,0.1,16,16,33,1133,16,382,33.71579876434245,[],3
7,12,0.1,1,1,33,1133,85,467,41.2180052956752,[],3
7,12,0.1,2,2,33,1133,51,465,41.04148278905561,[],3
7,12,0.1,4,4,33,1133,37,460,40.60017652250662,[],3
7,12,0.1,8,8,33,1133,22,442,39.01147396293027,[],3
7,12,0.1,16,16,33,1133,15,430,37.95233892321271,[],3
10,12,0.1,1,1,33,1133,85,477,42.10061782877317,[],3
10,12,0.1,2,2,33,1133,63,478,42.18887908208296,[],3
10,12,0.1,4,4,33,1133,36,474,41.83583406884378,[],3
10,12,0.1,8,8,33,1133,25,464,40.95322153574581,[],3
10,12,0.1,16,16,33,1133,19,439,38.74669020300088,[],3
3,12,0.1,1,1,33,1133,91,514,45.36628420123566,[],3
3,12,0.1,2,2,33,1133,62,509,44.92497793468667,[],3
3,12,0.1,4,4,33,1133,45,507,44.74845542806708,[],3
3,12,0.1,8,8,33,1133,29,496,43.77758164165931,[],3
3,12,0.1,16,16,33,1133,21,486,42.89496910856134,[],3
2,12,0.1,1,1,33,1133,73,453,39.98234774933805,[],3
2,12,0.1,2,2,33,1133,50,452,39.894086496028244,[],3
2,12,0.1,4,4,33,1133,34,449,39.62930273609885,[],3
2,12,0.1,8,8,33,1133,24,441,38.92321270962047,[],3
2,12,0.1,16,16,33,1133,19,426,37.59929390997352,[],3
1,12,0.1,1,1,33,1133,90,478,42.18887908208296,[],3
1,12,0.1,2,2,33,1133,64,475,41.924095322153576,[],3
1,12,0.1,4,4,33,1133,41,462,40.77669902912621,[],3
1,12,0.1,8,8,33,1133,29,455,40.15887025595764,[],3
1,12,0.1,16,16,33,1133,19,432,38.128861429832305,[],3
9,12,0.1,1,1,33,1133,83,499,44.042365401588704,[],3
9,12,0.1,2,2,33,1133,57,498,43.95410414827891,[],3
9,12,0.1,4,4,33,1133,39,497,43.865842894969106,[],3
9,12,0.1,8,8,33,1133,27,485,42.806707855251545,[],3
9,12,0.1,16,16,33,1133,17,458,40.42365401588703,[],3
8,12,0.1,1,1,33,1133,75,507,44.74845542806708,[],3
8,12,0.1,2,2,33,1133,50,506,44.66019417475729,[],3
8,12,0.1,4,4,33,1133,34,503,44.39541041482789,[],3
8,12,0.1,8,8,33,1133,24,493,43.51279788172992,[],3
8,12,0.1,16,16,33,1133,17,485,42.806707855251545,[],3
